tool_id,metric_id,scale_reporting,tool_name,dimeinsions,themes,metric,state_of_system,change_or_comparison,practice_or_performance
5,1,Territory/community,TAPE,Social,Efficiency,"Use of external inputs",state,no,practice
5,2,Territory/community,TAPE,Social,Efficiency,Management of soil fertility,state,no,practice
5,3,Territory/community,TAPE,Social,Efficiency,Productivity and household's needs,state,no,performance
5,4,Territory/community,TAPE,Social,Efficiency,Number of different activities generating income,state,no,don't know
5,5,Territory/community,TAPE,Social,Secure land tenure,Do you have any legal recognition of your land?,state,no,practice
5,6,Territory/community,TAPE,Social,Secure land tenure,Which type of formal document do you have?,state,no,don't know
5,7,Territory/community,TAPE,Social,Secure land tenure,Is your name listed as owner / use right holder on the recognized documents?,state,no,don't know
5,9,Territory/community,TAPE,Social,Secure land tenure,Do you have the right to sell any of the parcels of the holding?,state,no,practice
5,11,Territory/community,TAPE,Social,Dietary diversity,"Select what you ate or drank in the last 24 hours. Please include all foods and drinks, any snacks or small meals, as well as any main meals. Remember to include all foods you may have eaten while preparing meals or preparing food for others",state,no,practice
5,12,Territory/community,TAPE,Social,Synergy,Crop-livestock-acquaculture integration,state,no,practice
5,13,Territory/community,TAPE,Social,Synergy,Soil-plant system management,state,no,practice
5,14,Territory/community,TAPE,Social,Synergy,integration with trees,state,no,practice
5,15,Territory/community,TAPE,Social,Synergy,connectivity between elements of agroecosystems and landscapes,don't know,no,performance
5,16,Territory/community,TAPE,Environmental,Recycling,Recycling of biomass and nutrients,state,no,practice
5,17,Territory/community,TAPE,Environmental,Recycling,"Water saving (0-4 scale based on No. equipment-Take into account the equipment available for water saving, the techniques implemented for water retention and conservation into the soil, as well as the kind of crops grown)",state,no,practice
5,18,Territory/community,TAPE,Social,Recycling,Water saving (Does the practice need a lot of water or a normal quantity? Answers on a scale of 0 to 4),state,no,performance
5,19,Territory/community,TAPE,Social,Resilience,Stability of income/production and capacity to recover from perturbations,state,no,performance
5,20,Territory/community,TAPE,Social,Resilience,Existence of social mechanisms to reduce vulnerability,practice,no,practice
5,21,Territory/community,TAPE,Social,Resilience,Environmental resilience and capacity to adapt to climate change,state,no,performance
5,22,Territory/community,TAPE,Social,Resilience,Average score of the element of Diversity:,state,yes,performance
5,23,Territory/community,TAPE,Social,"Culture, food, and tradition","Appropriate diet and nutrition awareness",state,no,practice
5,24,Territory/community,TAPE,Social,"Culture, food, and tradition",Local or traditional (peasant / indigenous) identity and awareness,state,no,practice
5,25,Territory/community,TAPE,Social,"Culture, food, and tradition","Use of local varieties/breeds and traditional (peasant & indigenous) knowledge for food preparation",state,no,practice
5,26,Territory/community,TAPE,Social,Co-creation and sharing of knowledge,Social mechanisms for the horizontal creation and transfer of knowledge and good practices,pressure,no,practice
5,27,Territory/community,TAPE,Social,Co-creation and sharing of knowledge,Co-creation and sharing of knowledge (Access to agroecological knowledge and interest of producers in agroecology),state,no,practice
5,28,Territory/community,TAPE,Social,Co-creation and sharing of knowledge,Co-creation and sharing of knowledge (Participation of producers in networks and grassroot organizations),state,no,practice
5,29,Territory/community,TAPE,Economic,Circular and solidarity economy,"Products and services marketed locally (or with fair trade)",state,no,practice
5,30,Territory/community,TAPE,Economic,Circular and solidarity economy,"Networks of producers, relationship with consumers and presence of intermediaries",state,no,practice
5,31,Territory/community,TAPE,Economic,Circular and solidarity economy,Local food system (possibility of transforming local food products),state,yes,practice
5,32,Territory/community,TAPE,Social,Responsible governance,Producers' empowerment (whether Producers’ rights are recognised and respected for both men and women),state,no,practice
5,33,Territory/community,TAPE,Social,Responsible governance,"Producers' organizations and associations (whether organization of producers exists and provides support to producers for market access 
and other services with equal access to men and women)",null,null,null
5,34,Territory/community,TAPE,Social,Responsible governance,Participation of producers in governance of land and natural resources,null,null,null
5,35,Territory/community,TAPE,Social,Time burden,Number of hours per day spent working on AGRICULTURAL PRODUCTION within the system assessed.,null,null,null
